time,coin,dir,px,sz,ntl,fee,closedPnl
19/07/2024 - 13:41:59,WLD,Close Short,2.5624,3122,7999.8128,0.39999,78.68027
19/07/2024 - 13:41:59,WLD,Close Short,2.5624,629.6,1613.28704,0.080664,15.867104
19/07/2024 - 13:41:59,WLD,Close Short,2.5624,14692.6,37648.31824,1.882412,370.28114600000004
19/07/2024 - 13:41:59,WLD,Close Short,2.5624,27141.2,69546.61088,3.477327,684.009269
19/07/2024 - 13:49:03,kSHIB,Open Short,0.01705005,12935122,220544.4768561,66.163338,-66.163338
19/07/2024 - 13:54:34,kPEPE,Open Long,0.01136407,6054590,68804.7845813,20.641429,-20.641429
19/07/2024 - 14:03:46,kPEPE,Close Long,0.01146922,6054590,69441.42471980001,20.832413,-1956.995824
19/07/2024 - 14:08:39,WLD,Open Short,2.58613829,70798.7,183095.228952223,54.928549,-54.928549
19/07/2024 - 14:10:03,kSHIB,Open Short,0.01713529,9658349,165498.61103621,49.649576,-49.649576
19/07/2024 - 14:36:54,WLD,Close Short,2.61093145,558.7,1458.727401115,0.437617,-13.875161
19/07/2024 - 14:36:56,WLD,Close Short,2.611,8555,22337.105000000003,1.116855,-207.46345499999998
19/07/2024 - 14:36:56,WLD,Close Short,2.611,8553.9,22334.2329,1.116711,-207.436779
19/07/2024 - 14:37:09,WLD,Close Short,2.611,3063.9,7999.842900000001,0.399992,-74.30126
19/07/2024 - 14:37:14,kSHIB,Close Short,0.01725,201459,3475.16775,0.173758,-33.213034
19/07/2024 - 14:37:14,kSHIB,Close Short,0.01725,206747,3566.3857500000004,0.178319,-34.084827000000004
19/07/2024 - 14:37:15,WLD,Close Short,2.611,3063.8,7999.581800000001,0.399979,-74.298835
19/07/2024 - 14:37:15,WLD,Close Short,2.611,843.2,2201.5952,0.110079,-20.448062999999998
19/07/2024 - 14:37:15,WLD,Close Short,2.611,3850.6,10053.9166,0.502695,-93.37916700000001
19/07/2024 - 14:37:15,kSHIB,Close Short,0.01725,1366126,23565.6735,1.178283,-225.222947
19/07/2024 - 14:37:16,WLD,Close Short,2.611,1550.2,4047.5722000000005,0.202378,-37.593202000000005
19/07/2024 - 14:37:17,WLD,Close Short,2.611,22036.8,57538.084800000004,2.876904,-534.4045199999999
19/07/2024 - 14:37:17,WLD,Close Short,2.611,20622.7,53845.8697,2.692293,-500.11181700000003
19/07/2024 - 14:37:17,WLD,Close Short,2.611,351.5,917.7665000000001,0.045888,-8.524068
19/07/2024 - 14:37:18,WLD,Close Short,2.611,5051.1,13188.422100000002,0.659419,-122.491951
